#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
"positive regulation of protein import into nucleus, translocation",Gene Ontology,GO:0033160,2,12,0.001537776,0.068137783
organ regeneration,Gene Ontology,GO:0031100,3,51,0.001544607,0.068137783
cell morphogenesis involved in differentiation,Gene Ontology,GO:0000904,10,752,0.001653479,0.06962089
regeneration,Gene Ontology,GO:0031099,4,115,0.00165383,0.06962089
morphogenesis of a branching epithelium,Gene Ontology,GO:0061138,5,199,0.001797567,0.074428502
extracellular matrix disassembly,Gene Ontology,GO:0022617,4,119,0.001866088,0.074428502
sprouting angiogenesis,Gene Ontology,GO:0002040,3,55,0.001897773,0.074428502
morphogenesis of an epithelium,Gene Ontology,GO:0002009,7,405,0.001954636,0.074428502
neuron projection development,Gene Ontology,GO:0031175,10,771,0.001974888,0.074428502
endothelial cell migration,Gene Ontology,GO:0043542,4,121,0.001978972,0.074428502
urogenital system development,Gene Ontology,GO:0001655,6,300,0.001996167,0.074428502
regulation of intracellular protein transport,Gene Ontology,GO:0033157,5,205,0.002038716,0.07494434
generation of neurons,Gene Ontology,GO:0048699,13,1195,0.002133731,0.077347732
axonogenesis,Gene Ontology,GO:0007409,8,531,0.002221417,0.078270679
morphogenesis of a branching structure,Gene Ontology,GO:0001763,5,210,0.002257022,0.078270679
negative regulation of apoptotic process,Gene Ontology,GO:0043066,9,657,0.002277874,0.078270679
platelet-derived growth factor receptor binding,Gene Ontology,GO:0005161,2,15,0.002279146,0.078270679
regulation of cell-substrate adhesion,Gene Ontology,GO:0010810,4,127,0.002345798,0.079513403
epithelial tube morphogenesis,Gene Ontology,GO:0060562,6,312,0.002415598,0.080829621
positive regulation of developmental process,Gene Ontology,GO:0051094,10,796,0.002472568,0.081048045
negative regulation of programmed cell death,Gene Ontology,GO:0043069,9,666,0.002489103,0.081048045
lens development in camera-type eye,Gene Ontology,GO:0002088,3,61,0.002515284,0.081048045
positive regulation of vascular endothelial growth factor receptor signaling pathway,Gene Ontology,GO:0030949,2,16,0.002556933,0.081385318
negative regulation of angiogenesis,Gene Ontology,GO:0016525,3,62,0.002628835,0.082665777
axon development,Gene Ontology,GO:0061564,8,549,0.002711969,0.083322768
locomotion,Gene Ontology,GO:0040011,14,1380,0.002741366,0.083322768
blood vessel endothelial cell migration,Gene Ontology,GO:0043534,3,63,0.002745501,0.083322768
protein import into nucleus,Gene Ontology,GO:0006606,5,226,0.003070126,0.087531488
single-organism nuclear import,Gene Ontology,GO:1902593,5,226,0.003070126,0.087531488
protein targeting to nucleus,Gene Ontology,GO:0044744,5,226,0.003070126,0.087531488
neuron differentiation,Gene Ontology,GO:0030182,12,1103,0.003093999,0.087531488
cell-substrate junction assembly,Gene Ontology,GO:0007044,3,66,0.003114467,0.087531488
tube morphogenesis,Gene Ontology,GO:0035239,6,329,0.003118938,0.087531488
regulation of cellular component movement,Gene Ontology,GO:0051270,8,564,0.003182028,0.08831915
mammary gland development,Gene Ontology,GO:0030879,4,139,0.003214682,0.08831915
nuclear import,Gene Ontology,GO:0051170,5,230,0.003302559,0.089788315
positive regulation of epithelial cell proliferation,Gene Ontology,GO:0050679,4,141,0.003378102,0.090606425
neurogenesis,Gene Ontology,GO:0022008,13,1264,0.00340208,0.090606425
negative regulation of cell death,Gene Ontology,GO:0060548,9,701,0.003462318,0.090763523
"regulation of protein import into nucleus, translocation",Gene Ontology,GO:0033158,2,19,0.003480438,0.090763523
placenta development,Gene Ontology,GO:0001890,4,143,0.00354708,0.090763523
response to hypoxia,Gene Ontology,GO:0001666,5,236,0.003674547,0.093112296
regulation of epithelial cell proliferation,Gene Ontology,GO:0050678,5,237,0.00373934,0.09384305
retinal ganglion cell axon guidance,Gene Ontology,GO:0031290,2,20,0.003817887,0.094901755
response to decreased oxygen levels,Gene Ontology,GO:0036293,5,240,0.003938625,0.09670885
regulation of protein transport,Gene Ontology,GO:0051223,6,346,0.003964692,0.09670885
positive regulation of protein import into nucleus,Gene Ontology,GO:0042307,3,73,0.004089371,0.098826458
regulation of T cell differentiation in thymus,Gene Ontology,GO:0033081,2,21,0.004169927,0.099300514
cell morphogenesis involved in neuron differentiation,Gene Ontology,GO:0048667,8,591,0.004185079,0.099300514
collagen catabolic process,Gene Ontology,GO:0030574,3,74,0.004242029,0.099745018
positive regulation of inflammatory response,Gene Ontology,GO:0050729,3,75,0.004398104,0.102491537
in utero embryonic development,Gene Ontology,GO:0001701,6,359,0.004717657,0.108393719
response to oxygen levels,Gene Ontology,GO:0070482,5,251,0.004734438,0.108393719
protein import,Gene Ontology,GO:0017038,5,254,0.004969897,0.109053838
synapse organization,Gene Ontology,GO:0050808,4,158,0.005000344,0.109053838
multicellular organismal catabolic process,Gene Ontology,GO:0044243,3,79,0.005056994,0.109053838
cell projection morphogenesis,Gene Ontology,GO:0048858,9,745,0.005083597,0.109053838
neuron development,Gene Ontology,GO:0048666,10,886,0.005148633,0.109053838
extracellular matrix organization,Gene Ontology,GO:0030198,6,367,0.005230325,0.109053838
extracellular structure organization,Gene Ontology,GO:0043062,6,368,0.00529716,0.109053838
regulation of keratinocyte differentiation,Gene Ontology,GO:0045616,2,24,0.005312321,0.109053838
positive regulation of tissue remodeling,Gene Ontology,GO:0034105,2,24,0.005312321,0.109053838
positive regulation of NF-kappaB import into nucleus,Gene Ontology,GO:0042346,2,24,0.005312321,0.109053838
cell development,Gene Ontology,GO:0048468,15,1651,0.005344931,0.109053838
transmembrane receptor protein kinase activity,Gene Ontology,GO:0019199,3,81,0.005407483,0.10940721
epithelium migration,Gene Ontology,GO:0090132,4,163,0.005561553,0.109734426
epithelial cell migration,Gene Ontology,GO:0010631,4,163,0.005561553,0.109734426
renal system development,Gene Ontology,GO:0072001,5,262,0.005638157,0.109734426
cell part morphogenesis,Gene Ontology,GO:0032990,9,760,0.005753331,0.109734426
cellular response to growth factor stimulus,Gene Ontology,GO:0071363,8,625,0.005775258,0.109734426
positive regulation of growth,Gene Ontology,GO:0045927,4,166,0.005917645,0.109734426
system development,Gene Ontology,GO:0048731,27,3738,0.005938925,0.109734426
regulation of multicellular organismal process,Gene Ontology,GO:0051239,17,1999,0.005968136,0.109734426
regulation of cell motility,Gene Ontology,GO:2000145,7,501,0.00608215,0.109734426
protein localization to nucleus,Gene Ontology,GO:0034504,5,267,0.006086585,0.109734426
regulation of positive chemotaxis,Gene Ontology,GO:0050926,2,26,0.006144553,0.109734426
embryonic hemopoiesis,Gene Ontology,GO:0035162,2,26,0.006144553,0.109734426
protein kinase C signaling,Gene Ontology,GO:0070528,2,26,0.006144553,0.109734426
regulation of vascular endothelial growth factor receptor signaling pathway,Gene Ontology,GO:0030947,2,26,0.006144553,0.109734426
tissue migration,Gene Ontology,GO:0090130,4,168,0.006163273,0.109734426
cell projection organization,Gene Ontology,GO:0030030,11,1060,0.006299059,0.11042595
positive regulation of protein phosphorylation,Gene Ontology,GO:0001934,8,635,0.006320514,0.11042595
regulation of endothelial cell proliferation,Gene Ontology,GO:0001936,3,86,0.006346319,0.11042595
positive regulation of nucleocytoplasmic transport,Gene Ontology,GO:0046824,3,87,0.006544964,0.112168074
tissue morphogenesis,Gene Ontology,GO:0048729,7,510,0.006667207,0.112168074
female pregnancy,Gene Ontology,GO:0007565,4,172,0.006674633,0.112168074
hematopoietic or lymphoid organ development,Gene Ontology,GO:0048534,8,642,0.006724787,0.112168074
response to growth factor,Gene Ontology,GO:0070848,8,642,0.006724787,0.112168074
embryonic placenta development,Gene Ontology,GO:0001892,3,88,0.006747275,0.112168074
positive regulation of cellular component movement,Gene Ontology,GO:0051272,5,281,0.007474499,0.123053609
receptor activator activity,Gene Ontology,GO:0030546,2,29,0.007496369,0.123053609
epithelial cell proliferation,Gene Ontology,GO:0050673,5,283,0.00768928,0.123882846
regulation of establishment of protein localization,Gene Ontology,GO:0070201,6,401,0.007871919,0.126047292
integrin complex,Gene Ontology,GO:0008305,2,30,0.007974076,0.126904509
positive regulation of response to external stimulus,Gene Ontology,GO:0032103,4,182,0.008073767,0.127222909
epithelium development,Gene Ontology,GO:0060429,9,808,0.008360572,0.129887455
regulation of focal adhesion assembly,Gene Ontology,GO:0051893,2,31,0.008465133,0.129964683
regulation of cell-substrate junction assembly,Gene Ontology,GO:0090109,2,31,0.008465133,0.129964683
leukocyte migration,Gene Ontology,GO:0050900,5,291,0.008591319,0.131130654
gland development,Gene Ontology,GO:0048732,5,293,0.008827759,0.133956111
positive regulation of MAP kinase activity,Gene Ontology,GO:0043406,4,188,0.00899888,0.135763445
immune system development,Gene Ontology,GO:0002520,8,678,0.009119929,0.136017225
endothelial cell proliferation,Gene Ontology,GO:0001935,3,99,0.009218976,0.136713226
prostaglandin metabolic process,Gene Ontology,GO:0006693,2,33,0.009486813,0.138454262
prostanoid metabolic process,Gene Ontology,GO:0006692,2,33,0.009486813,0.138454262
regulation of locomotion,Gene Ontology,GO:0040012,7,548,0.009606333,0.139186976
heart morphogenesis,Gene Ontology,GO:0003007,4,192,0.00965243,0.139186976
heart development,Gene Ontology,GO:0007507,6,420,0.009708159,0.139221406
membrane protein ectodomain proteolysis,Gene Ontology,GO:0006509,2,35,0.010560461,0.149797846
regulation of epidermal cell differentiation,Gene Ontology,GO:0045604,2,35,0.010560461,0.149797846
MAPK cascade,Gene Ontology,GO:0000165,7,563,0.0109935,0.154263624
positive regulation of signal transduction,Gene Ontology,GO:0009967,10,1001,0.011378402,0.157966107
positive regulation of transcription factor import into nucleus,Gene Ontology,GO:0042993,2,37,0.011685138,0.161366194
positive regulation of transport,Gene Ontology,GO:0051050,7,571,0.011789962,0.161648484
cell differentiation,Gene Ontology,GO:0030154,22,3041,0.011829448,0.161648484
positive regulation of gene expression,Gene Ontology,GO:0010628,11,1170,0.012377673,0.167837371
signal transduction by phosphorylation,Gene Ontology,GO:0023014,7,579,0.012627249,0.169882064
collagen metabolic process,Gene Ontology,GO:0032963,3,113,0.013036909,0.172283172
growth factor binding,Gene Ontology,GO:0019838,3,114,0.013339084,0.172283172
NF-kappaB import into nucleus,Gene Ontology,GO:0042348,2,40,0.013465811,0.172283172
thymus development,Gene Ontology,GO:0048538,2,40,0.013465811,0.172283172
regulation of NF-kappaB import into nucleus,Gene Ontology,GO:0042345,2,40,0.013465811,0.172283172
neuromuscular junction development,Gene Ontology,GO:0007528,2,40,0.013465811,0.172283172
lactation,Gene Ontology,GO:0007595,2,40,0.013465811,0.172283172
positive regulation of phosphorylation,Gene Ontology,GO:0042327,8,732,0.013832016,0.174594719
chordate embryonic development,Gene Ontology,GO:0043009,7,590,0.013847167,0.174594719
receptor regulator activity,Gene Ontology,GO:0030545,2,41,0.014083888,0.175091402
multi-multicellular organism process,Gene Ontology,GO:0044706,4,216,0.014221297,0.175091402
embryo development ending in birth or egg hatching,Gene Ontology,GO:0009792,7,596,0.014546966,0.175091402
kidney development,Gene Ontology,GO:0001822,4,218,0.014653963,0.175091402
positive regulation of cell proliferation,Gene Ontology,GO:0008284,8,740,0.014657317,0.175091402
"protein import into nucleus, translocation",Gene Ontology,GO:0000060,2,42,0.014714036,0.175091402
regulation of blood vessel endothelial cell migration,Gene Ontology,GO:0043535,2,42,0.014714036,0.175091402
cellular component movement,Gene Ontology,GO:0006928,13,1528,0.01477356,0.175091402
multicellular organismal macromolecule metabolic process,Gene Ontology,GO:0044259,3,119,0.01490964,0.175091402
cell motility,Gene Ontology,GO:0048870,10,1046,0.014959917,0.175091402
localization of cell,Gene Ontology,GO:0051674,10,1046,0.014959917,0.175091402
regulation of protein localization,Gene Ontology,GO:0032880,6,464,0.015093698,0.175480933
response to external stimulus,Gene Ontology,GO:0009605,15,1871,0.015127667,0.175480933
positive regulation of signaling,Gene Ontology,GO:0023056,10,1049,0.015225388,0.175787438
regulation of cell junction assembly,Gene Ontology,GO:1901888,2,43,0.015356144,0.175787438
transcription from RNA polymerase I promoter,Gene Ontology,GO:0006360,2,43,0.015356144,0.175787438
regulation of cell differentiation,Gene Ontology,GO:0045595,11,1211,0.015526883,0.176853346
positive regulation of cell communication,Gene Ontology,GO:0010647,10,1053,0.015584778,0.176853346
protein phosphorylation,Gene Ontology,GO:0006468,11,1214,0.015778861,0.178280639
extracellular matrix binding,Gene Ontology,GO:0050840,2,44,0.016010101,0.180113635
cytokinesis,Gene Ontology,GO:0000910,3,124,0.016580177,0.183098928
positive chemotaxis,Gene Ontology,GO:0050918,2,45,0.016675796,0.183098928
membrane protein proteolysis,Gene Ontology,GO:0033619,2,45,0.016675796,0.183098928
regulation of cell migration,Gene Ontology,GO:0030334,6,475,0.016709643,0.183098928
tube development,Gene Ontology,GO:0035295,6,475,0.016709643,0.183098928
phosphorylation,Gene Ontology,GO:0016310,13,1555,0.01676653,0.183098928
establishment or maintenance of cell polarity,Gene Ontology,GO:0007163,3,126,0.017276514,0.187102491
smooth muscle cell differentiation,Gene Ontology,GO:0051145,2,46,0.017353121,0.18715556
receptor binding,Gene Ontology,GO:0005102,11,1245,0.018565139,0.19617414
multicellular organismal metabolic process,Gene Ontology,GO:0044236,3,130,0.018717548,0.196454621
artery morphogenesis,Gene Ontology,GO:0048844,2,48,0.018742222,0.196454621
positive regulation of peptidyl-tyrosine phosphorylation,Gene Ontology,GO:0050731,3,131,0.019087897,0.199277645
cell-substrate adherens junction assembly,Gene Ontology,GO:0007045,2,49,0.019453784,0.20148562
focal adhesion assembly,Gene Ontology,GO:0048041,2,49,0.019453784,0.20148562
regulation of intracellular transport,Gene Ontology,GO:0032386,5,360,0.019550437,0.201686325
regulation of epidermis development,Gene Ontology,GO:0045682,2,50,0.020176543,0.207325899
positive regulation of protein serine/threonine kinase activity,Gene Ontology,GO:0071902,4,242,0.020500132,0.209005251
ameboidal cell migration,Gene Ontology,GO:0001667,4,242,0.020500132,0.209005251
cellular developmental process,Gene Ontology,GO:0048869,22,3230,0.021514323,0.212407251
response to organic cyclic compound,Gene Ontology,GO:0014070,7,648,0.02169794,0.212407251
regulation of Rho protein signal transduction,Gene Ontology,GO:0035023,3,139,0.022196241,0.212407251
nucleocytoplasmic transport,Gene Ontology,GO:0006913,5,373,0.022319835,0.212407251
maternal process involved in female pregnancy,Gene Ontology,GO:0060135,2,53,0.022410953,0.212407251
regulation of morphogenesis of a branching structure,Gene Ontology,GO:0060688,2,53,0.022410953,0.212407251
regulation of tissue remodeling,Gene Ontology,GO:0034103,2,54,0.023177451,0.212407251
activation of protein kinase activity,Gene Ontology,GO:0032147,4,252,0.023302338,0.212407251
cell migration,Gene Ontology,GO:0016477,9,966,0.023407578,0.212407251
nuclear transport,Gene Ontology,GO:0051169,5,378,0.023449145,0.212407251
camera-type eye development,Gene Ontology,GO:0043010,4,253,0.023594675,0.212407251
artery development,Gene Ontology,GO:0060840,2,55,0.023954623,0.212407251
positive regulation of phosphate metabolic process,Gene Ontology,GO:0045937,8,816,0.024359013,0.212407251
positive regulation of phosphorus metabolic process,Gene Ontology,GO:0010562,8,816,0.024359013,0.212407251
peptidyl-tyrosine phosphorylation,Gene Ontology,GO:0018108,4,256,0.024485,0.212407251
adherens junction assembly,Gene Ontology,GO:0034333,2,56,0.024742368,0.212407251
regulation of MAP kinase activity,Gene Ontology,GO:0043405,4,257,0.024786223,0.212407251
positive regulation of protein modification process,Gene Ontology,GO:0031401,8,819,0.024815983,0.212407251
regulation of cell projection size,Gene Ontology,GO:0032536,1,5,0.024821537,0.212407251
metanephric loop of Henle development,Gene Ontology,GO:0072236,1,5,0.024821537,0.212407251
NK T cell proliferation,Gene Ontology,GO:0001866,1,5,0.024821537,0.212407251
positive regulation of cell migration by vascular endothelial growth factor signaling pathway,Gene Ontology,GO:0038089,1,5,0.024821537,0.212407251
liver morphogenesis,Gene Ontology,GO:0072576,1,5,0.024821537,0.212407251
granulocyte macrophage colony-stimulating factor biosynthetic process,Gene Ontology,GO:0042253,1,5,0.024821537,0.212407251
epithelial cell proliferation involved in liver morphogenesis,Gene Ontology,GO:0072575,1,5,0.024821537,0.212407251
actomyosin contractile ring,Gene Ontology,GO:0005826,1,5,0.024821537,0.212407251
thelarche,Gene Ontology,GO:0042695,1,5,0.024821537,0.212407251
positive regulation of mammary gland epithelial cell proliferation,Gene Ontology,GO:0033601,1,5,0.024821537,0.212407251
mammary gland branching involved in thelarche,Gene Ontology,GO:0060744,1,5,0.024821537,0.212407251
thyroid hormone receptor activator activity,Gene Ontology,GO:0010861,1,5,0.024821537,0.212407251
regulation of hepatocyte proliferation,Gene Ontology,GO:2000345,1,5,0.024821537,0.212407251
hepatocyte proliferation,Gene Ontology,GO:0072574,1,5,0.024821537,0.212407251
branch elongation involved in mammary gland duct branching,Gene Ontology,GO:0060751,1,5,0.024821537,0.212407251
positive regulation of cellular extravasation,Gene Ontology,GO:0002693,1,5,0.024821537,0.212407251
secondary lysosome,Gene Ontology,GO:0005767,1,5,0.024821537,0.212407251
regulation of vitamin D receptor signaling pathway,Gene Ontology,GO:0070562,1,5,0.024821537,0.212407251
apoptotic process involved in patterning of blood vessels,Gene Ontology,GO:1902262,1,5,0.024821537,0.212407251
NatA complex,Gene Ontology,GO:0031415,1,5,0.024821537,0.212407251
trachea cartilage development,Gene Ontology,GO:0060534,1,5,0.024821537,0.212407251
establishment of meiotic spindle localization,Gene Ontology,GO:0051295,1,5,0.024821537,0.212407251
astrocyte projection,Gene Ontology,GO:0097449,1,5,0.024821537,0.212407251
establishment of T cell polarity,Gene Ontology,GO:0001768,1,5,0.024821537,0.212407251
peptidyl-tyrosine modification,Gene Ontology,GO:0018212,4,258,0.025089676,0.213149748
epithelial cell differentiation,Gene Ontology,GO:0030855,6,523,0.025153304,0.213149748
positive regulation of intracellular signal transduction,Gene Ontology,GO:1902533,7,670,0.025350195,0.21381255
cellular response to lipid,Gene Ontology,GO:0071396,4,259,0.02539536,0.21381255
developmental growth involved in morphogenesis,Gene Ontology,GO:0060560,3,148,0.02600253,0.216826213
cellular response to organic substance,Gene Ontology,GO:0071310,13,1660,0.026493298,0.220175341
leukocyte differentiation,Gene Ontology,GO:0002521,5,394,0.027307918,0.220538525
positive regulation of cell migration,Gene Ontology,GO:0030335,4,269,0.028575573,0.220538525
cellular response to steroid hormone stimulus,Gene Ontology,GO:0071383,2,61,0.028836127,0.220538525
embryonic organ development,Gene Ontology,GO:0048568,5,400,0.028852732,0.220538525
oxygen homeostasis,Gene Ontology,GO:0032364,1,6,0.028898151,0.220538525
establishment of lymphocyte polarity,Gene Ontology,GO:0001767,1,6,0.028898151,0.220538525
glial cell projection,Gene Ontology,GO:0097386,1,6,0.028898151,0.220538525
positive regulation of axon extension involved in axon guidance,Gene Ontology,GO:0048842,1,6,0.028898151,0.220538525
positive regulation of granulocyte macrophage colony-stimulating factor production,Gene Ontology,GO:0032725,1,6,0.028898151,0.220538525
positive regulation of transcription from RNA polymerase I promoter,Gene Ontology,GO:0045943,1,6,0.028898151,0.220538525
cellular response to hepatocyte growth factor stimulus,Gene Ontology,GO:0035729,1,6,0.028898151,0.220538525
positive regulation of endothelial cell chemotaxis,Gene Ontology,GO:2001028,1,6,0.028898151,0.220538525
response to hepatocyte growth factor,Gene Ontology,GO:0035728,1,6,0.028898151,0.220538525
chorion development,Gene Ontology,GO:0060717,1,6,0.028898151,0.220538525
positive regulation of thymocyte apoptotic process,Gene Ontology,GO:0070245,1,6,0.028898151,0.220538525
regulation of immature T cell proliferation in thymus,Gene Ontology,GO:0033084,1,6,0.028898151,0.220538525
positive regulation of deacetylase activity,Gene Ontology,GO:0090045,1,6,0.028898151,0.220538525
mammary gland branching involved in pregnancy,Gene Ontology,GO:0060745,1,6,0.028898151,0.220538525
negative regulation of neuron migration,Gene Ontology,GO:2001223,1,6,0.028898151,0.220538525
lipid kinase activity,Gene Ontology,GO:0001727,1,6,0.028898151,0.220538525
vascular smooth muscle cell development,Gene Ontology,GO:0097084,1,6,0.028898151,0.220538525
negative regulation of keratinocyte proliferation,Gene Ontology,GO:0010839,1,6,0.028898151,0.220538525
positive regulation of natural killer cell proliferation,Gene Ontology,GO:0032819,1,6,0.028898151,0.220538525
cell-matrix adhesion,Gene Ontology,GO:0007160,3,155,0.029188913,0.220820475
regulation of cellular response to growth factor stimulus,Gene Ontology,GO:0090287,3,156,0.02966019,0.220912383
positive regulation of cell motility,Gene Ontology,GO:2000147,4,275,0.03059201,0.220912383
multicellular organismal development,Gene Ontology,GO:0007275,27,4319,0.030613303,0.220912383
regulation of response to external stimulus,Gene Ontology,GO:0032101,6,551,0.031195774,0.220912383
response to wounding,Gene Ontology,GO:0009611,10,1185,0.031310524,0.220912383
cell adhesion molecule binding,Gene Ontology,GO:0050839,2,64,0.031412825,0.220912383
transmembrane receptor protein tyrosine kinase activity,Gene Ontology,GO:0004714,2,64,0.031412825,0.220912383
positive regulation of endothelial cell proliferation,Gene Ontology,GO:0001938,2,64,0.031412825,0.220912383
growth factor activity,Gene Ontology,GO:0008083,3,160,0.031585343,0.220912383
myeloid leukocyte differentiation,Gene Ontology,GO:0002573,3,161,0.032076622,0.220912383
extracellular matrix structural constituent,Gene Ontology,GO:0005201,2,65,0.032291211,0.220912383
nervous system development,Gene Ontology,GO:0007399,14,1888,0.032364954,0.220912383
cardiac muscle fiber development,Gene Ontology,GO:0048739,1,7,0.032957727,0.220912383
leukocyte migration involved in inflammatory response,Gene Ontology,GO:0002523,1,7,0.032957727,0.220912383
type II transforming growth factor beta receptor binding,Gene Ontology,GO:0005114,1,7,0.032957727,0.220912383
regulation of natural killer cell proliferation,Gene Ontology,GO:0032817,1,7,0.032957727,0.220912383
chorio-allantoic fusion,Gene Ontology,GO:0060710,1,7,0.032957727,0.220912383
post-embryonic camera-type eye development,Gene Ontology,GO:0031077,1,7,0.032957727,0.220912383
peptidyl-tyrosine autophosphorylation,Gene Ontology,GO:0038083,1,7,0.032957727,0.220912383
commissural neuron axon guidance,Gene Ontology,GO:0071679,1,7,0.032957727,0.220912383
primitive hemopoiesis,Gene Ontology,GO:0060215,1,7,0.032957727,0.220912383
parathyroid gland development,Gene Ontology,GO:0060017,1,7,0.032957727,0.220912383
regulation of G0 to G1 transition,Gene Ontology,GO:0070316,1,7,0.032957727,0.220912383
regulation of response to alcohol,Gene Ontology,GO:1901419,1,7,0.032957727,0.220912383
vitamin D receptor signaling pathway,Gene Ontology,GO:0070561,1,7,0.032957727,0.220912383
cardiac vascular smooth muscle cell differentiation,Gene Ontology,GO:0060947,1,7,0.032957727,0.220912383
positive regulation of transcription from RNA polymerase III promoter,Gene Ontology,GO:0045945,1,7,0.032957727,0.220912383
positive regulation of cell migration involved in sprouting angiogenesis,Gene Ontology,GO:0090050,1,7,0.032957727,0.220912383
regulation of immature T cell proliferation,Gene Ontology,GO:0033083,1,7,0.032957727,0.220912383
immature T cell proliferation in thymus,Gene Ontology,GO:0033080,1,7,0.032957727,0.220912383
protein anchor,Gene Ontology,GO:0043495,1,7,0.032957727,0.220912383
positive regulation of p38MAPK cascade,Gene Ontology,GO:1900745,1,7,0.032957727,0.220912383
establishment of blood-brain barrier,Gene Ontology,GO:0060856,1,7,0.032957727,0.220912383
lobar bronchus development,Gene Ontology,GO:0060482,1,7,0.032957727,0.220912383
branching involved in ureteric bud morphogenesis,Gene Ontology,GO:0001658,2,66,0.033179178,0.220912383
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,Gene Ontology,GO:0043154,2,67,0.034076632,0.224583421
anatomical structure development,Gene Ontology,GO:0048856,27,4368,0.03435346,0.224583421
positive regulation of stress-activated MAPK cascade,Gene Ontology,GO:0032874,2,68,0.034983478,0.224583421
cellular response to alcohol,Gene Ontology,GO:0097306,2,68,0.034983478,0.224583421
regulation of cell-matrix adhesion,Gene Ontology,GO:0001952,2,68,0.034983478,0.224583421
positive regulation of locomotion,Gene Ontology,GO:0040017,4,289,0.035615485,0.224583421
positive regulation of stress-activated protein kinase signaling cascade,Gene Ontology,GO:0070304,2,69,0.035899622,0.224583421
T cell differentiation in thymus,Gene Ontology,GO:0033077,2,70,0.03682497,0.224583421
negative regulation of cysteine-type endopeptidase activity,Gene Ontology,GO:2000117,2,70,0.03682497,0.224583421
